trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.01, 'e': 0.751805729140895}",25,0,-115.19943969100183,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,14,-16.187239270369744,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-31.759396281367614,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-109.84521798464087,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,6,-140.4160189878971,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 3}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-55.278213042535675,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,0,-26.756301791532294,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",25,0,-97.86594088004685,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",30,0,-169.20246105890925,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",25,0,-72.33502961226898,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,0,-9.218634930077808,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",25,0,-93.78481382399166,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",25,0,-58.77112677950602,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,12,-45.996210261693946,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,3,-47.622858087412546,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-132.81332768068606,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,0,-32.87538711503806,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
